# realization, C_[ell=3] 
6.272600000000000000e+04 3.542207088483607436e+02
6.272700000000000000e+04 3.515516494732156616e+02
6.272800000000000000e+04 6.461719034293970481e+02
6.272900000000000000e+04 2.658620228177308036e+02
6.273000000000000000e+04 5.893579752984521747e+02
6.273100000000000000e+04 2.249657285359257060e+02
6.273200000000000000e+04 1.704750685761486011e+02
6.273300000000000000e+04 3.841018951191346531e+01
6.273400000000000000e+04 1.195119963242942731e+03
6.273500000000000000e+04 7.228693223577729441e+02
6.273600000000000000e+04 4.399406322619185516e+02
6.273700000000000000e+04 4.885134806464920416e+02
6.273800000000000000e+04 5.187866436490944579e+02
6.273900000000000000e+04 5.078409974321865548e+02
6.274000000000000000e+04 2.191850648495459382e+02
6.274100000000000000e+04 6.134490394746893571e+02
6.274200000000000000e+04 9.519892495694627996e+02
6.274300000000000000e+04 2.830662048636277177e+02
6.274400000000000000e+04 4.752957622748573385e+02
6.274500000000000000e+04 7.729301263598576952e+02
6.274600000000000000e+04 2.537234616069413562e+02
6.274700000000000000e+04 4.984740234969452786e+02
6.274800000000000000e+04 5.895131695375359868e+02
6.274900000000000000e+04 7.233786408283754099e+02
6.275000000000000000e+04 1.059550986675216791e+03
6.275100000000000000e+04 4.872667219976158322e+02
6.275200000000000000e+04 9.447818589501627002e+02
6.275300000000000000e+04 5.136472805010903357e+02
6.275400000000000000e+04 4.693104893071579227e+02
6.275500000000000000e+04 7.610771680005949520e+02
6.275600000000000000e+04 4.905173235442501891e+02
6.275700000000000000e+04 4.318373598211776425e+02
6.275800000000000000e+04 3.318899493617772691e+02
6.275900000000000000e+04 4.440651659509730393e+02
6.276000000000000000e+04 4.499363306215900025e+02
6.276100000000000000e+04 2.012683161456901075e+02
6.276200000000000000e+04 8.730233942577848438e+02
6.276300000000000000e+04 4.716427629131034109e+02
6.276400000000000000e+04 4.696649905493458164e+02
6.276500000000000000e+04 6.817605626394984029e+02
6.276600000000000000e+04 5.112093791288382931e+02
6.276700000000000000e+04 1.246983369543909532e+02
6.276800000000000000e+04 5.428528222552864690e+02
6.276900000000000000e+04 1.069464125112269357e+03
6.277000000000000000e+04 5.491524227596165701e+02
6.277100000000000000e+04 2.305063544444817865e+02
6.277200000000000000e+04 4.791052044479649226e+02
6.277300000000000000e+04 3.589224904042600883e+02
6.277400000000000000e+04 5.259968581110798596e+02
6.277500000000000000e+04 1.310390951463699366e+03
6.277600000000000000e+04 7.881469168205601363e+02
6.277700000000000000e+04 3.811999027828737781e+02
6.277800000000000000e+04 5.112790696907432562e+02
6.277900000000000000e+04 5.701875363687225899e+02
6.278000000000000000e+04 2.791840174122104372e+02
6.278100000000000000e+04 2.191700550595219852e+02
6.278200000000000000e+04 2.005446191366189055e+02
6.278300000000000000e+04 5.188898609312121835e+02
6.278400000000000000e+04 1.261767360348235798e+03
6.278500000000000000e+04 4.790420391830144808e+02
6.278600000000000000e+04 6.490767537786580306e+02
6.278700000000000000e+04 9.129049535985727459e+01
6.278800000000000000e+04 5.146785079595834986e+02
6.278900000000000000e+04 7.082780648096758114e+02
6.279000000000000000e+04 3.264673545460340165e+02
6.279100000000000000e+04 1.093101498961719926e+03
6.279200000000000000e+04 7.425603832446475963e+02
6.279300000000000000e+04 7.687500470098545975e+02
