# realization, C(theta=180) 
7.509700000000000000e+04 -2.169136445136731481e+02
7.509800000000000000e+04 2.541589048941262377e+02
7.509900000000000000e+04 -3.215763532628334360e+02
7.510000000000000000e+04 4.405606846679108344e+02
7.510100000000000000e+04 2.521851024194820639e+02
7.510200000000000000e+04 3.332216159894859686e+01
7.510300000000000000e+04 -7.514077451046262013e+00
7.510400000000000000e+04 6.453523305658811751e+02
7.510500000000000000e+04 -3.618327562807053255e+00
7.510600000000000000e+04 -5.122512163542410235e+00
7.510700000000000000e+04 2.131170608435086251e+02
7.510800000000000000e+04 1.105877044897210453e+03
7.510900000000000000e+04 6.965438347980935987e+02
7.511000000000000000e+04 7.809155615390204730e+02
7.511100000000000000e+04 1.010443626701309313e+03
7.511200000000000000e+04 8.246550655951966746e+02
7.511300000000000000e+04 -8.749250515242547976e+01
7.511400000000000000e+04 1.179228382502893737e+02
7.511500000000000000e+04 3.337161279247719676e+02
7.511600000000000000e+04 7.720682865288046060e+01
7.511700000000000000e+04 -4.058127225683392680e+00
7.511800000000000000e+04 5.748634927888086850e+02
7.511900000000000000e+04 -1.503240274372129761e+02
7.512000000000000000e+04 -2.534828364925743358e+02
7.512100000000000000e+04 1.085042822343270643e+02
7.512200000000000000e+04 -1.359043626574629116e+02
7.512300000000000000e+04 1.878172251774207666e+02
7.512400000000000000e+04 2.688116564876879124e+02
7.512500000000000000e+04 -6.855642317408612598e+02
7.512600000000000000e+04 4.760762127146596185e+02
7.512700000000000000e+04 6.032818196099646002e+02
7.512800000000000000e+04 -1.486652406117349869e+02
7.512900000000000000e+04 1.125565457077730116e+02
7.513000000000000000e+04 7.289441770236285265e+02
7.513100000000000000e+04 6.466336013209444218e+02
7.513200000000000000e+04 2.821897350827770765e+02
7.513300000000000000e+04 -1.476199447721908768e+02
7.513400000000000000e+04 -2.310301428225052689e+00
7.513500000000000000e+04 1.496206141696699774e+02
7.513600000000000000e+04 5.481369564966792041e+02
7.513700000000000000e+04 4.076842400681997560e+02
7.513800000000000000e+04 1.087246084532274324e+02
7.513900000000000000e+04 5.101378400067471262e+02
7.514000000000000000e+04 1.294062604577330831e+02
7.514100000000000000e+04 6.484539363011550677e+02
7.514200000000000000e+04 8.244032141732592436e+02
7.514300000000000000e+04 2.474955616437014498e+02
7.514400000000000000e+04 2.683928634808984270e+02
7.514500000000000000e+04 7.860377270494165032e+02
7.514600000000000000e+04 -1.267801168220468071e+02
7.514700000000000000e+04 6.224091578327391971e+02
7.514800000000000000e+04 8.563892339536234886e+02
