# realization, S_1/2
1.263300000000000000e+04 5.031696084450791386e+04
1.263400000000000000e+04 6.764904624142046487e+03
1.263500000000000000e+04 1.307214696066093529e+04
1.263600000000000000e+04 1.954177458709585335e+04
1.263700000000000000e+04 3.646742992603436142e+04
1.263800000000000000e+04 4.376918116547674435e+04
1.263900000000000000e+04 3.308739477588440786e+04
1.264000000000000000e+04 2.859208836427446658e+04
1.264100000000000000e+04 4.320570624907755700e+04
1.264200000000000000e+04 1.037936013139485149e+05
1.264300000000000000e+04 6.431427326896566228e+04
1.264400000000000000e+04 1.203303545724703690e+04
1.264500000000000000e+04 1.769358070877224964e+05
1.264600000000000000e+04 1.871720046227972853e+04
1.264700000000000000e+04 2.287518307926653360e+05
1.264800000000000000e+04 3.710341786526467185e+05
1.264900000000000000e+04 1.145630548662790243e+05
1.265000000000000000e+04 2.363280581579993304e+04
1.265100000000000000e+04 2.574723973298806231e+05
1.265200000000000000e+04 9.494862903978599934e+04
1.265300000000000000e+04 7.035608514800108969e+04
1.265400000000000000e+04 1.075409799505445699e+04
1.265500000000000000e+04 3.849917822696229996e+04
1.265600000000000000e+04 6.868760700920927047e+04
1.265700000000000000e+04 9.143755030511929363e+03
1.265800000000000000e+04 3.530969890096865129e+04
1.265900000000000000e+04 1.292485870386529277e+05
1.266000000000000000e+04 7.421918456162816437e+04
1.266100000000000000e+04 4.052303548623583629e+04
1.266200000000000000e+04 1.449845255903285397e+04
1.266300000000000000e+04 9.916010773931966469e+03
1.266400000000000000e+04 7.692309207880476606e+04
1.266500000000000000e+04 3.584960707705781533e+04
1.266600000000000000e+04 3.302365321101524023e+04
1.266700000000000000e+04 5.157559243071934907e+04
1.266800000000000000e+04 5.945536217207667505e+04
1.266900000000000000e+04 3.054158970395069919e+05
1.267000000000000000e+04 2.452115807587116797e+04
1.267100000000000000e+04 6.132203436528571910e+04
1.267200000000000000e+04 2.826734265533563303e+04
1.267300000000000000e+04 4.927827535189034097e+04
1.267400000000000000e+04 1.859575129603833193e+04
1.267500000000000000e+04 6.465526610391477152e+04
1.267600000000000000e+04 5.686080723603850493e+04
1.267700000000000000e+04 8.408203631879978639e+04
1.267800000000000000e+04 1.010790253900524840e+04
1.267900000000000000e+04 1.078100630407661629e+04
1.268000000000000000e+04 2.924650338860767988e+03
1.268100000000000000e+04 5.843883846050743159e+03
1.268200000000000000e+04 1.689932968260565758e+04
1.268300000000000000e+04 9.978708860399345212e+03
1.268400000000000000e+04 3.338082560735171865e+04
1.268500000000000000e+04 5.540835762349154538e+04
1.268600000000000000e+04 4.183562802089214529e+03
1.268700000000000000e+04 3.394549722326266874e+03
1.268800000000000000e+04 2.080559578840297399e+04
1.268900000000000000e+04 8.014674527682453627e+05
1.269000000000000000e+04 1.147046365031746827e+05
1.269100000000000000e+04 3.471849133429572248e+04
1.269200000000000000e+04 1.692795283547584768e+04
1.269300000000000000e+04 1.437985962509758428e+04
1.269400000000000000e+04 6.276271180001030007e+04
1.269500000000000000e+04 5.891259375130452827e+04
1.269600000000000000e+04 2.393659012607275872e+04
1.269700000000000000e+04 5.504396691681759694e+04
1.269800000000000000e+04 1.417049266154643738e+04
1.269900000000000000e+04 3.415569963370841378e+03
1.270000000000000000e+04 1.015229796675232792e+05
1.270100000000000000e+04 1.179802332070291741e+05
1.270200000000000000e+04 3.254921575058586677e+04
1.270300000000000000e+04 5.138937825800741120e+04
1.270400000000000000e+04 6.364208299876821002e+03
1.270500000000000000e+04 7.832042761064994556e+04
1.270600000000000000e+04 8.157845375760067327e+03
1.270700000000000000e+04 2.584476187298931472e+05
1.270800000000000000e+04 2.934259439707827405e+05
1.270900000000000000e+04 4.878762289421704918e+04
1.271000000000000000e+04 8.889168045125201752e+04
1.271100000000000000e+04 2.127942987397702382e+04
1.271200000000000000e+04 8.718655309354282508e+04
1.271300000000000000e+04 8.214662815587354999e+04
1.271400000000000000e+04 7.955113840153455385e+04
1.271500000000000000e+04 1.217566404660139669e+05
1.271600000000000000e+04 5.342746996987047169e+03
1.271700000000000000e+04 9.594768964171955304e+03
1.271800000000000000e+04 2.599380562599376935e+04
1.271900000000000000e+04 7.395052289259324316e+05
1.272000000000000000e+04 1.291912661938744168e+04
1.272100000000000000e+04 1.797197922587902576e+04
1.272200000000000000e+04 4.121691003579118114e+04
1.272300000000000000e+04 1.182402624705307244e+05
1.272400000000000000e+04 5.442324708204813942e+04
1.272500000000000000e+04 7.411529713562284087e+03
1.272600000000000000e+04 5.685410787621008785e+04
1.272700000000000000e+04 2.679423310141346301e+05
1.272800000000000000e+04 4.926441519946062181e+04
1.272900000000000000e+04 8.609644779059865687e+04
1.273000000000000000e+04 3.051564963167362293e+04
1.273100000000000000e+04 2.494346293709768725e+04
