# realization, C(theta=180) 
8.765500000000000000e+04 3.260456176875617302e+02
8.765600000000000000e+04 1.755926582140062351e+02
8.765700000000000000e+04 -9.868824944397553622e+01
8.765800000000000000e+04 3.431752280651824663e+02
8.765900000000000000e+04 3.306191246011705402e+02
8.766000000000000000e+04 7.993276921675466156e+02
8.766100000000000000e+04 1.519633193287654933e+02
8.766200000000000000e+04 -5.730066761686316568e+00
8.766300000000000000e+04 2.067403848491744611e+01
8.766400000000000000e+04 3.507557135219788620e+02
8.766500000000000000e+04 1.160047403432748325e+02
8.766600000000000000e+04 1.090098296851432735e+01
8.766700000000000000e+04 2.668058204673301361e+02
8.766800000000000000e+04 7.593432842280403747e+02
8.766900000000000000e+04 6.043400760306883512e+02
8.767000000000000000e+04 5.079966052762783875e+02
8.767100000000000000e+04 1.505749082102349803e+02
8.767200000000000000e+04 6.354903205515079208e+02
8.767300000000000000e+04 8.073492024621066321e+02
8.767400000000000000e+04 2.903249894643875564e+02
8.767500000000000000e+04 6.261511899440753837e+01
8.767600000000000000e+04 5.363598872149748331e+02
8.767700000000000000e+04 5.788730640925089119e+02
8.767800000000000000e+04 -6.441702639410911502e+01
8.767900000000000000e+04 3.585831127776205562e+01
8.768000000000000000e+04 1.419506482684724915e+02
8.768100000000000000e+04 1.671987011854426726e+02
8.768200000000000000e+04 2.921389667900754716e+02
8.768300000000000000e+04 -1.578853526207766436e+02
8.768400000000000000e+04 4.524741749320711506e+02
8.768500000000000000e+04 5.960970585974828282e+02
8.768600000000000000e+04 3.751169605131514118e+01
8.768700000000000000e+04 -5.168302828794556945e+02
8.768800000000000000e+04 -2.716348025409334355e+01
8.768900000000000000e+04 1.078171505049499501e+03
8.769000000000000000e+04 -3.927927681004442206e+01
8.769100000000000000e+04 -3.774559437837012865e+01
8.769200000000000000e+04 -2.383821247538085686e+01
