# realization, C(theta=180) 
7.510000000000000000e+04 4.758660883887684463e+02
7.510100000000000000e+04 2.443228793219027466e+02
7.510200000000000000e+04 1.773586040632354610e+01
7.510300000000000000e+04 3.780729409059972568e+00
7.510400000000000000e+04 6.596514829243039912e+02
7.510500000000000000e+04 -6.028465435666248595e+00
7.510600000000000000e+04 -1.810331463041433153e+01
7.510700000000000000e+04 2.486898907406361161e+02
7.510800000000000000e+04 1.105059450499665218e+03
7.510900000000000000e+04 7.432665029640704688e+02
7.511000000000000000e+04 7.482802169447550114e+02
7.511100000000000000e+04 9.552431369530165739e+02
7.511200000000000000e+04 8.551241068764743432e+02
7.511300000000000000e+04 -7.041780460557191645e+01
7.511400000000000000e+04 8.717671757357430806e+01
7.511500000000000000e+04 2.963195807027502724e+02
7.511600000000000000e+04 4.415004774976006274e+01
7.511700000000000000e+04 -2.273028397140274137e+01
7.511800000000000000e+04 5.900639867444508582e+02
7.511900000000000000e+04 -1.654092906426040486e+02
7.512000000000000000e+04 -2.331527987959306074e+02
7.512100000000000000e+04 1.140034736217364042e+02
7.512200000000000000e+04 -1.769866840808005009e+02
7.512300000000000000e+04 1.893501793513111124e+02
7.512400000000000000e+04 3.036538305469981083e+02
7.512500000000000000e+04 -6.720964065711431203e+02
7.512600000000000000e+04 5.063989261704021487e+02
7.512700000000000000e+04 5.908130587653831753e+02
7.512800000000000000e+04 -1.585077024596116360e+02
7.512900000000000000e+04 1.252975538980697365e+02
7.513000000000000000e+04 7.152082023563082203e+02
7.513100000000000000e+04 6.470240803510522483e+02
7.513200000000000000e+04 2.728444410161478118e+02
7.513300000000000000e+04 -1.737805766167226693e+02
7.513400000000000000e+04 -2.470144542500985807e+00
7.513500000000000000e+04 1.546761668361337456e+02
7.513600000000000000e+04 5.496507657169885306e+02
7.513700000000000000e+04 3.915710161714187052e+02
7.513800000000000000e+04 1.635094174451968172e+02
7.513900000000000000e+04 5.331243825900212414e+02
7.514000000000000000e+04 1.082035189927875081e+02
7.514100000000000000e+04 6.764873879041331293e+02
7.514200000000000000e+04 8.274332388976881703e+02
7.514300000000000000e+04 2.440341234176077023e+02
7.514400000000000000e+04 3.030830793092411568e+02
7.514500000000000000e+04 7.353328484068806574e+02
7.514600000000000000e+04 -1.112787934532384782e+02
7.514700000000000000e+04 6.622630679605836121e+02
7.514800000000000000e+04 9.194834020992276464e+02
7.514900000000000000e+04 3.375173264588356119e+02
7.515000000000000000e+04 3.395711552198211507e+02
7.515100000000000000e+04 6.268793138634571278e+02
7.515200000000000000e+04 8.332937090817487160e+02
7.515300000000000000e+04 5.906862849139249647e+02
7.515400000000000000e+04 6.412912725932792455e+02
7.515500000000000000e+04 2.403152347143053760e+02
7.515600000000000000e+04 4.108089816173284703e+02
7.515700000000000000e+04 -1.942607536244755408e+02
7.515800000000000000e+04 1.692934309379385525e+02
7.515900000000000000e+04 3.933984081093636860e+02
7.516000000000000000e+04 8.534138601828135506e+02
7.516100000000000000e+04 3.324987914636718642e+02
7.516200000000000000e+04 -1.857244530892268699e+02
7.516300000000000000e+04 1.960539384226082404e+02
7.516400000000000000e+04 4.431755023471692994e+02
7.516500000000000000e+04 4.407215940340695965e+02
7.516600000000000000e+04 2.356162662251134634e+02
7.516700000000000000e+04 3.782177165465625421e+02
7.516800000000000000e+04 7.005465041240327082e+02
7.516900000000000000e+04 7.436802924780234889e+02
7.517000000000000000e+04 4.865144545001266465e+02
7.517100000000000000e+04 5.524706713745274556e+02
7.517200000000000000e+04 4.596271722542954308e+02
7.517300000000000000e+04 6.072055981457001508e+02
7.517400000000000000e+04 1.577363356682503763e+02
7.517500000000000000e+04 1.713414896641510268e+02
7.517600000000000000e+04 5.227137590701379395e+02
7.517700000000000000e+04 4.690826702806929802e+02
7.517800000000000000e+04 4.849414522197326960e+01
7.517900000000000000e+04 1.587244119464693881e+02
7.518000000000000000e+04 4.819954720548786042e+00
7.518100000000000000e+04 1.587408189839295858e+02
7.518200000000000000e+04 2.781972438921355888e+02
7.518300000000000000e+04 -1.771277992562453392e+02
7.518400000000000000e+04 4.758409603170499054e+02
7.518500000000000000e+04 4.733237336161253097e+02
7.518600000000000000e+04 -7.721481137229612557e+01
7.518700000000000000e+04 -3.316464415034633930e+02
7.518800000000000000e+04 6.469022254868849586e+01
7.518900000000000000e+04 1.312532519018351650e+03
7.519000000000000000e+04 -7.109296259682605523e+01
7.519100000000000000e+04 -1.539861858849189957e+01
7.519200000000000000e+04 -2.506899652054011085e+01
7.519300000000000000e+04 -3.105952389966088276e+02
7.519400000000000000e+04 3.236051010742946801e+02
7.519500000000000000e+04 3.079574754052307526e+02
7.519600000000000000e+04 1.226058866910152858e+02
7.519700000000000000e+04 2.826055322506691709e+02
7.519800000000000000e+04 -1.622272138007955959e+02
7.519900000000000000e+04 -1.486250875390205124e+02
7.520000000000000000e+04 4.623285778335349505e+02
7.520100000000000000e+04 7.432339500273358226e+02
7.520200000000000000e+04 4.264148830021218259e+02
7.520300000000000000e+04 2.067307045500589311e+02
7.520400000000000000e+04 1.484659112689045628e+02
7.520500000000000000e+04 6.998749609948523585e+02
7.520600000000000000e+04 1.406716218817236097e+02
7.520700000000000000e+04 1.124319822319945843e+03
7.520800000000000000e+04 9.316287236018019939e+02
7.520900000000000000e+04 4.199933955950160680e+01
7.521000000000000000e+04 6.510884775670162981e+02
7.521100000000000000e+04 -8.468441397050833075e+01
7.521200000000000000e+04 3.502949993879902877e+02
7.521300000000000000e+04 3.762797262998420251e+02
7.521400000000000000e+04 5.248024287663964742e+02
7.521500000000000000e+04 6.661502415319342845e+02
7.521600000000000000e+04 9.872373319882531462e+01
7.521700000000000000e+04 -4.122499933811903361e+01
7.521800000000000000e+04 5.174192310721836066e+02
7.521900000000000000e+04 1.841746666844567699e+03
7.522000000000000000e+04 2.696277597680286817e+02
7.522100000000000000e+04 9.863772291899985589e+01
7.522200000000000000e+04 5.059276864557643876e+02
7.522300000000000000e+04 6.981343320825611727e+02
7.522400000000000000e+04 -5.061717467671006716e+02
7.522500000000000000e+04 1.604052399294831446e+02
7.522600000000000000e+04 5.253359356146568189e+02
7.522700000000000000e+04 7.867433427575628002e+02
7.522800000000000000e+04 4.795388816344639622e+02
